Price,Close,High,Low,Open,Volume
Ticker,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR
Date,,,,,
2024-01-01,38291.8359375,38768.875,37988.5546875,38127.7109375,14855969946
2024-01-02,40018.60546875,40025.59375,38219.16015625,38305.46875,16696095504
2024-01-03,41089.29296875,41609.734375,40027.3203125,40036.55078125,35950434827
2024-01-04,39215.98046875,41576.94921875,37371.3203125,41092.61328125,42413930730
2024-01-05,40360.08203125,40898.17578125,39071.59765625,39222.96875,27815518796
2024-01-06,40313.9140625,40487.8984375,39058.85546875,40372.0078125,29517944389
2024-01-07,40155.53515625,40373.19140625,39686.296875,40328.7578125,14690041790
2024-01-08,40161.22265625,40606.16796875,39920.15625,40164.0,17666926685
2024-01-09,42895.8125,43114.42578125,39537.6328125,40166.34765625,39037959858
2024-01-10,42206.50390625,43821.15625,41395.74609375,42911.4609375,36426685220
2024-01-11,42488.2578125,43423.0546875,40645.234375,42189.86328125,45665538159
2024-01-12,42220.63671875,44721.1796875,41601.87109375,42514.0390625,41733631991
2024-01-13,39085.34375,42365.2421875,38219.421875,42208.078125,39522714682
2024-01-14,39075.5078125,39433.296875,38730.52734375,39036.34765625,18790462489
2024-01-15,38186.703125,39279.09765625,38120.484375,39075.40234375,16008261347
2024-01-16,38840.46484375,39562.125,38103.6953125,38112.51171875,20392557029
2024-01-17,39669.70703125,40061.84765625,38703.3359375,38828.92578125,22119531074
2024-01-18,39262.97265625,39708.30859375,38844.625,39648.70703125,19153733750
2024-01-19,37918.71875,39384.75390625,37389.37109375,39262.66015625,23174989410
2024-01-20,38166.16015625,38683.203125,37031.34765625,37933.7890625,23616244981
2024-01-21,38209.42578125,38404.12109375,38008.80859375,38171.828125,10625574894
2024-01-22,38144.265625,38383.46484375,38102.63671875,38214.83984375,8579009413
2024-01-23,36317.1484375,38205.15234375,36241.12890625,38151.48828125,28808107460
2024-01-24,36699.2265625,36831.734375,35454.125,36327.578125,26935315403
2024-01-25,36831.26953125,37141.2421875,36305.703125,36728.7421875,20548650512
2024-01-26,36819.76953125,36968.46875,36444.65234375,36829.87109375,17049792852
2024-01-27,38492.72265625,38862.6875,36734.69921875,36822.54296875,23563248548
2024-01-28,38771.80859375,38841.375,38137.78125,38491.57421875,10514898011
2024-01-29,38769.72265625,39395.1015625,38431.58203125,38777.39453125,15549147600
2024-01-30,39956.21875,39965.3828125,38701.77734375,38765.40625,19077561931
2024-01-31,39612.0546875,40434.328125,39385.56640625,39967.28125,21988487304
2024-02-01,39413.5234375,40293.89453125,39121.9140625,39606.19140625,22837367991
2024-02-02,39612.1796875,39771.8671875,38747.296875,39401.6328125,19701317928
2024-02-03,39992.265625,40213.4375,39394.47265625,39613.89453125,17228088847
2024-02-04,39812.97265625,40153.47265625,39719.03125,39991.4375,10343279551
2024-02-05,39503.2578125,39880.1875,39289.18359375,39815.46484375,13731491707
2024-02-06,39715.00390625,40479.921875,39235.1484375,39497.7265625,17424025115
2024-02-07,40052.28515625,40324.83984375,39579.37890625,39713.81640625,15616166337
2024-02-08,41128.15625,41161.2109375,39758.71484375,40057.2578125,19605874860
2024-02-09,42032.65234375,42291.1015625,41141.0546875,41141.0546875,24267239777
2024-02-10,43717.2421875,44635.87109375,42007.203125,42028.76953125,36456475765
2024-02-11,44295.91796875,44643.53515625,43492.9609375,43723.109375,15205677486
2024-02-12,44724.17578125,45004.9453125,44153.23828125,44293.77734375,17888096185
2024-02-13,46378.31640625,46671.140625,44319.140625,44726.4609375,32038925926
2024-02-14,46451.3828125,46758.01953125,45174.0078125,46362.6640625,33238143997
2024-02-15,48291.33984375,48542.078125,46022.78125,46442.98046875,36438018997
2024-02-16,48212.640625,49030.9140625,47686.43359375,48300.73828125,35797869001
2024-02-17,48399.97265625,48887.421875,47948.54296875,48211.87109375,26149030201
2024-02-18,47938.609375,48429.3984375,47016.890625,48401.33984375,18566635635
2024-02-19,48333.65234375,48567.26171875,47540.26953125,47937.66015625,16316334143
2024-02-20,48051.40625,48653.56640625,47961.47265625,48345.02734375,19824256609
2024-02-21,48367.37890625,48954.84765625,46978.1640625,48050.09375,30854694565
2024-02-22,47908.9921875,48447.1796875,46835.65234375,48356.890625,26454709694
2024-02-23,47392.25,48060.16015625,47013.47265625,47923.28515625,23475734895
2024-02-24,46833.19921875,47563.90234375,46676.1015625,47372.7890625,19780407304
2024-02-25,47607.86328125,47712.265625,46697.953125,46837.28125,14007949994
2024-02-26,47817.75390625,47991.01953125,47349.796875,47602.4296875,14246672819
2024-02-27,50249.69921875,50642.28515625,46983.7734375,47815.26171875,31404136534
2024-02-28,52655.9453125,53062.31640625,50227.89453125,50246.8984375,45896050163
2024-02-29,57669.23046875,58946.12109375,52349.30859375,52642.78125,76799525876
2024-03-01,56633.83984375,58686.81640625,55980.44140625,57664.05859375,60611481553
2024-03-02,57573.38671875,58275.359375,56197.52734375,56605.78125,37053841004
2024-03-03,57194.62109375,57590.04296875,56851.1015625,57565.10546875,22026367161
2024-03-04,58261.4140625,58333.53515625,56605.0,57196.21875,24214782930
2024-03-05,62955.0,63129.390625,57511.94921875,58233.40625,65110966484
2024-03-06,58772.38671875,63662.91796875,54662.05859375,62964.8046875,94700013077
2024-03-07,60656.7578125,62247.25390625,57910.90234375,58749.22265625,63082253938
2024-03-08,61113.40625,62190.43359375,60234.29296875,60650.28125,42908783273
2024-03-09,62411.53515625,63992.1328125,60486.01953125,61124.921875,54098645569
2024-03-10,62593.18359375,62752.33984375,62185.85546875,62410.76953125,19746552762
2024-03-11,63072.97265625,63969.6328125,62389.5625,62594.4375,32609410343
2024-03-12,65983.203125,66681.3515625,61394.5546875,63073.671875,60121474891
2024-03-13,65417.8203125,66760.8125,62943.2578125,65984.3203125,57248192058
2024-03-14,66723.8515625,67372.1796875,65274.6875,65418.57421875,44017130178
2024-03-15,65603.5390625,67416.4921875,63001.46484375,66720.078125,54759158986
2024-03-16,63730.01171875,66513.5703125,60287.109375,65595.53125,71917756863
2024-03-17,59975.60546875,64319.9921875,59503.8828125,63719.65234375,43012848654
2024-03-18,62838.26171875,63235.2734375,59223.5546875,59976.734375,41086480972
2024-03-19,62122.75,63275.12890625,61246.1796875,62820.515625,45304643119
2024-03-20,56999.375,62630.515625,56642.9453125,62129.68359375,68326075351
2024-03-21,62092.1796875,62323.0078125,55955.75,57015.37890625,61067236556
2024-03-22,60291.375,62374.55078125,59476.63671875,62090.26953125,40948610730
2024-03-23,58737.05078125,61475.0,57444.8828125,60290.02734375,38128358668
2024-03-24,58998.0859375,60760.96875,58055.30078125,58759.1171875,22783349644
2024-03-25,62211.9140625,62557.81640625,58780.41796875,59005.9609375,25174349775
